Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;13051;Bad Doberan;113.870;27.590;3.770;21.200;860;39.340;46.070;;3,3;18,6;;21,9
40;13052;Demmin;76.790;22.080;3.260;17.720;/;19.370;34.910;;4,2;23,1;;27,3
40;13053;Güstrow;95.180;25.330;4.140;19.340;760;26.940;42.160;;4,3;20,3;;24,7
40;13054;Ludwigslust;118.970;33.980;4.640;27.000;820;47.040;37.130;;3,9;22,7;;26,6
40;13055;Mecklenburg-Strelitz;74.790;16.230;2.020;12.310;490;23.470;34.600;;2,7;16,5;;19,2
40;13056;Müritz;62.840;15.440;2.280;12.070;/;21.880;25.100;;3,6;19,2;;22,8
40;13057;Nordvorpommern;102.180;21.780;2.600;17.260;580;27.630;52.190;;2,5;16,9;;19,4
40;13058;Nordwestmecklenburg;112.870;30.890;3.510;24.680;740;28.250;52.980;;3,1;21,9;;25,0
40;13059;Ostvorpommern;101.230;30.450;2.660;25.100;1.370;29.370;40.030;;2,6;24,8;;27,4
40;13060;Parchim;91.820;25.700;2.970;20.550;780;26.060;39.280;;3,2;22,4;;25,6
40;13061;Rügen;64.780;14.650;1.650;11.320;500;18.440;31.190;;2,5;17,5;;20,0
40;13062;Uecker-Randow;68.280;16.240;3.160;11.760;480;15.670;35.890;;4,6;17,2;;21,9
10;14;;4.008.600;1.141.490;153.870;858.280;64.830;1.344.960;1.457.320;;;;;
20;145;Gesamt;1.483.190;465.250;35.470;381.160;24.840;453.250;539.860;;;;;
40;14511;Chemnitz, Stadt;236.440;45.710;5.540;30.410;4.120;99.540;87.070;;2,3;12,9;;15,2
40;14521;Erzgebirgskreis;359.500;150.840;6.890;131.280;7.130;77.720;123.810;;1,9;36,5;;38,4
40;14522;Mittelsachsen;318.210;88.950;7.030;75.330;3.680;100.370;125.200;;2,2;23,7;;25,9
40;14523;Vogtlandkreis;236.960;83.480;6.910;68.520;4.190;62.910;86.380;;2,9;28,9;;31,8
40;14524;Zwickau;332.090;96.260;9.100;75.620;5.730;112.710;117.390;;2,7;22,8;;25,5
20;146;Gesamt;1.573.130;461.280;81.840;330.770;20.910;542.160;548.770;;;;;
40;14612;Dresden, Stadt;506.900;130.810;25.310;84.230;9.890;206.800;159.400;;5,0;16,6;;21,6
40;14625;Bautzen;311.480;110.490;26.250;77.220;2.780;87.170;111.030;;8,4;24,8;;33,2
40;14626;Görlitz;265.950;88.880;15.800;65.230;3.490;81.840;91.740;;5,9;24,5;;30,5
40;14627;Meißen;244.860;68.200;7.650;54.900;2.460;73.680;100.530;;3,1;22,4;;25,5
